lane,event,start_us,end_us,detail
"tile 0,3 core",ACTIVE,5905.974045,5906.099062,cycles 130835833..130835957 (125 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,5906.098062,6178.098263,cycles 130835957..131107920 (271964 cyc)
"tile 0,3 core",ACTIVE,6178.097263,6178.108265,cycles 131107920..131107930 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6178.107264,6178.108265,cycles 131107930..131107930 (1 cyc)
"tile 0,3 core",ACTIVE,6178.107264,6178.158271,cycles 131107930..131107980 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6178.157271,6178.158271,cycles 131107980..131107980 (1 cyc)
"tile 0,3 core",ACTIVE,6178.157271,6178.168273,cycles 131107980..131107990 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6178.167272,6178.168273,cycles 131107990..131107990 (1 cyc)
"tile 0,3 core",ACTIVE,6178.167272,6178.217279,cycles 131107990..131108039 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6178.216279,6178.409305,cycles 131108039..131108231 (193 cyc)
"tile 0,3 core",ACTIVE,6178.408305,6178.419306,cycles 131108231..131108241 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6178.418306,6178.419306,cycles 131108241..131108241 (1 cyc)
"tile 0,3 core",ACTIVE,6178.418306,6178.469313,cycles 131108241..131108291 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6178.468313,6178.469313,cycles 131108291..131108291 (1 cyc)
"tile 0,3 core",ACTIVE,6178.468313,6178.479314,cycles 131108291..131108301 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6178.478314,6178.479314,cycles 131108301..131108301 (1 cyc)
"tile 0,3 core",ACTIVE,6178.478314,6178.528321,cycles 131108301..131108350 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6178.527320,6178.562325,cycles 131108350..131108384 (35 cyc)
"tile 0,3 core",ACTIVE,6178.561325,6178.572326,cycles 131108384..131108394 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6178.571326,6178.572326,cycles 131108394..131108394 (1 cyc)
"tile 0,3 core",ACTIVE,6178.571326,6178.622333,cycles 131108394..131108444 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6178.621333,6230.118187,cycles 131108444..131159933 (51490 cyc)
"tile 0,3 core",ACTIVE,6230.117187,6230.128188,cycles 131159933..131159943 (11 cyc)
